id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
4,m,m,,false,CONSONANT,288
1,ɐ,6,,false,VOWEL,266
6,iː,i,,false,VOWEL,160
5,t,t,,false,CONSONANT,111
12,k,k,,false,CONSONANT,66
46,ɾ," 4",,false,CONSONANT,49
3,r,r,,false,CONSONANT,28
11,b,b,,false,CONSONANT,26
2,.,.,,false,,24
7,e,e,,false,VOWEL,19
23,pʰ,p_h,,false,CONSONANT,19
15,kʰ,k_h,,false,CONSONANT,18
34,uː,u,,false,VOWEL,9
9,o,o,,false,VOWEL,7
43,ʃʰ,S_h,,false,CONSONANT,7
22,n,n,,false,CONSONANT,6
14,d,d,,false,CONSONANT,2
17,bʱ,b_h,,false,CONSONANT,0
13,dʒ,dZ,,false,CONSONANT,0
19,dʒʱ,dZ_h\,,false,CONSONANT,0
20,dʱ,d_h\,,false,CONSONANT,0
30,g,g,,false,CONSONANT,0
31,h,h,,false,CONSONANT,0
21,j,j,,false,CONSONANT,0
32,l,l,,false,CONSONANT,0
16,p,p,,false,CONSONANT,0
33,s,s,,false,CONSONANT,0
24,tʰ,t_h,,false,CONSONANT,0
35,w,w,,false,CONSONANT,0
36,z,z,,false,CONSONANT,0
37,æ,{,,false,VOWEL,0
38,ŋ,N,,false,CONSONANT,0
10,ɔ,O,,false,VOWEL,0
39,ɕ,s\,,false,,0
40,ɖ,d`,,false,CONSONANT,0
25,ɖʱ,d`_h\,,false,CONSONANT,0
26,ɡʱ,g_h\,,false,CONSONANT,0
41,ɦ,h\,,false,CONSONANT,0
42,ɸ,p\,,false,,0
27,ɽ,r`,,false,CONSONANT,0
28,ɽʱ,r`_h\,,false,CONSONANT,0
8,ʃ,S,,false,CONSONANT,0
44,ʈ,t`,,false,CONSONANT,0
29,ʈʰ,t`_h,,false,CONSONANT,0
18,ː,:,,false,,0
45,β,B,,false,,0
47,∅,*,,false,,0
